Food,Measure,Grams,Calories,Proein,Fa,Sa.Fa,Fiber,Carbs,Caegory,Resul,
Cows' milk,1 q.,976,660,32,40,36,0,48,Dairy producs,Healhy,1
Milk skim,1 q.,984,360,36,,,0,52,Dairy producs,Healhy,1
Buermilk,1 cup,246,127,9,5,4,0,13,Dairy producs,Healhy,0
"Evaporaed, undilued",1 cup,252,345,16,20,18,0,24,Dairy producs,Healhy,0
Fortified milk,1 cups,237,229,14,7,3,0,20,Dairy producs,Healhy,1
Powdered milk,1 cup,103,515,27,28,24,0,39,Dairy producs,0,0
"skim, insan",1 1/3 cups,85,290,30,0,0,0,42,Dairy producs,,1
"skim, non-insan",2/3 cup,85,290,30,0,0,1,42,Dairy producs,,1
Goas' milk,1 cup,244,165,8,10,8,0,11,Dairy producs,Healhy,1
(1/2 cup ice cream),2 cups,540,690,24,24,22,0,70,Dairy producs,,0
Cocoa,1 cup,252,235,8,11,10,0,26,Dairy producs,Healhy,1
skim. milk,1 cup,250,128,18,4,3,1,13,Dairy producs,,1
(cornsarch),1 cup,248,275,9,10,9,0,40,Dairy producs,,0
Cusard,1 cup,248,285,13,14,11,0,28,Dairy producs,,0
Ice cream,1 cup,188,300,6,18,16,0,29,Dairy producs,,1
Ice milk,1 cup,190,275,9,10,9,0,32,Dairy producs,,1
Cream or half-and-half,1/2 cup,120,170,4,15,13,0,5,Dairy producs,,0
or whipping,1/2 cup,119,430,2,44,27,1,3,Dairy producs,,1
Cheese,1 cup,225,240,30,11,10,0,6,Dairy producs,Healhy,0
uncreamed,1 cup,225,195,38,0,0,0,6,Dairy producs,,0
Cheddar,1-in. cube,17,70,4,6,5,0,,Dairy producs,,0
"Cheddar, graed cup",1/2 cup,56,226,14,19,17,0,1,Dairy producs,,1
Cream cheese,1 oz.,28,105,2,11,10,0,1,Dairy producs,,1
Processed cheese,1 oz.,28,105,7,9,8,0,,Dairy producs,,1
Roquefor ype,1 oz.,28,105,6,9,8,0,,Dairy producs,,1
Swiss,1 oz.,28,105,7,8,7,0,,Dairy producs,,0
Eggs raw,2,100,150,12,12,10,0,,Dairy producs,Healhy,1
Eggs Scrambled or fried,2,128,220,13,16,14,0,1,Dairy producs,Healhy,1
